
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="r_aedu",="r_index1",="r_log_wage",="r_ila_tot",="r_unemployed",="r_nini"

="treatment",="-0.0262***",="-0.0015***",="-0.0032**",="-1.7039",="0.0008**",="0.0009"
="",="(0.0064)",="(0.0004)",="(0.0012)",="(1.3505)",="(0.0003)",="(0.0005)"

="_cons",="97.9209",="3.7089",="-73.7280***",="-122051.8486***",="14.9163***",="9.8015**"
="",="(58.9556)",="(2.8029)",="(11.0531)",="(6586.1950)",="(2.5592)",="(3.5948)"

="N",="2459",="2456",="2455",="2445",="2458",="2459"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
